,Date,Total_Planes
0,2000-01,59445
1,2000-02,57733
2,2000-03,63335
3,2000-04,63123
4,2000-05,64830
5,2000-06,61297
6,2000-07,64501
7,2000-08,63956
8,2000-09,64393
9,2000-10,63477
10,2000-11,61376
11,2000-12,60020
12,2001-01,62225
13,2001-02,57687
14,2001-03,64101
15,2001-04,63982
16,2001-05,64944
17,2001-06,62827
18,2001-07,64793
19,2001-08,63134
20,2001-09,60981
21,2001-10,59780
22,2001-11,55506
23,2001-12,50722
24,2002-01,55327
25,2002-02,51352
26,2002-03,57773
27,2002-04,60258
28,2002-05,61134
29,2002-06,59208
30,2002-07,64982
31,2002-08,62359
32,2002-09,59862
33,2002-10,62338
34,2002-11,56350
35,2002-12,58254
36,2003-01,58663
37,2003-02,52329
38,2003-03,58705
39,2003-04,56453
40,2003-05,55949
41,2003-06,58285
42,2003-07,64015
43,2003-08,63202
44,2003-09,62710
45,2003-10,62781
46,2003-11,57417
47,2003-12,58019
48,2004-01,58624
49,2004-02,54650
50,2004-03,60758
51,2004-04,60993
52,2004-05,62688
53,2004-06,62793
54,2004-07,65805
55,2004-08,64987
56,2004-09,64217
57,2004-10,63988
58,2004-11,58200
59,2004-12,57520
60,2005-01,59634
61,2005-02,54160
62,2005-03,59585
63,2005-04,62019
64,2005-05,63771
65,2005-06,63284
66,2005-07,65797
67,2005-08,64200
68,2005-09,63683
69,2005-10,62319
70,2005-11,59019
71,2005-12,59081
72,2006-01,60710
73,2006-02,55290
74,2006-03,62300
75,2006-04,63332
76,2006-05,66265
77,2006-06,65618
78,2006-07,67678
79,2006-08,65657
80,2006-09,65589
81,2006-10,66062
82,2006-11,62196
83,2006-12,61635
84,2007-01,62977
85,2007-02,57889
86,2007-03,65169
87,2007-04,64088
88,2007-05,66403
89,2007-06,66481
90,2007-07,69636
91,2007-08,67549
92,2007-09,66785
93,2007-10,65016
94,2007-11,62632
95,2007-12,62176
96,2008-01,63565
97,2008-02,59165
98,2008-03,64689
99,2008-04,66921
100,2008-05,68198
101,2008-06,67699
102,2008-07,70722
103,2008-08,67786
104,2008-09,66834
105,2008-10,66892
106,2008-11,58826
107,2008-12,60044
108,2009-01,58262
109,2009-02,55082
110,2009-03,63503
111,2009-04,64072
112,2009-05,64620
113,2009-06,64282
114,2009-07,66664
115,2009-08,63106
116,2009-09,62811
117,2009-10,62405
118,2009-11,57541
119,2009-12,56276
120,2010-01,54996
121,2010-02,50796
122,2010-03,60891
123,2010-04,51532
124,2010-05,62800
125,2010-06,62930
126,2010-07,65350
127,2010-08,63310
128,2010-09,62053
129,2010-10,61298
130,2010-11,57891
131,2010-12,53731
132,2011-01,57612
133,2011-02,53802
134,2011-03,61735
135,2011-04,61921
136,2011-05,64637
137,2011-06,63289
138,2011-07,66131
139,2011-08,63705
140,2011-09,64361
141,2011-10,62920
142,2011-11,57481
143,2011-12,57828
144,2012-01,56555
145,2012-02,53361
146,2012-03,60783
147,2012-04,59677
148,2012-05,62372
149,2012-06,62901
150,2012-07,65398
151,2012-08,62444
152,2012-09,62956
153,2012-10,62294
154,2012-11,56586
155,2012-12,56576
156,2013-01,53776
157,2013-02,51689
158,2013-03,57680
159,2013-04,59335
160,2013-05,61847
161,2013-06,59682
162,2013-07,64235
163,2013-08,61812
164,2013-09,62043
165,2013-10,60493
166,2013-11,54415
167,2013-12,54852
168,2014-01,52719
169,2014-02,50111
170,2014-03,57035
171,2014-04,59420
172,2014-05,61470
173,2014-06,61506
174,2014-07,64379
175,2014-08,62937
176,2014-09,54649
177,2014-10,60736
178,2014-11,53542
179,2014-12,54790
180,2015-01,52655
181,2015-02,49531
182,2015-03,56753
183,2015-04,57154
184,2015-05,61296
185,2015-06,61973
186,2015-07,65181
187,2015-08,63875
188,2015-09,62464
189,2015-10,61408
190,2015-11,53314
191,2015-12,54848
192,2016-01,51814
193,2016-02,50877
194,2016-03,56199
195,2016-04,59806
196,2016-05,63025
197,2016-06,61354
198,2016-07,64921
199,2016-08,64669
200,2016-09,63338
201,2016-10,62413
202,2016-11,53749
203,2016-12,55238
204,2017-01,53175
205,2017-02,49950
206,2017-03,56530
207,2017-04,60318
208,2017-05,63004
209,2017-06,61890
210,2017-07,64811
211,2017-08,63451
212,2017-09,62063
213,2017-10,61626
214,2017-11,53490
215,2017-12,54373
216,2018-01,53949
217,2018-02,48451
218,2018-03,56231
219,2018-04,57237
220,2018-05,61493
221,2018-06,62253
222,2018-07,66255
223,2018-08,65290
224,2018-09,63606
225,2018-10,63537
226,2018-11,55173
227,2018-12,56522
228,2019-01,54711
229,2019-02,50104
230,2019-03,57727
231,2019-04,62208
232,2019-05,63184
233,2019-06,63826
234,2019-07,67015
235,2019-08,65183
236,2019-09,62826
237,2019-10,61676
238,2019-11,53824
239,2019-12,54240
240,2020-01,53820
241,2020-02,50722
242,2020-03,32416
243,2020-04,3765
244,2020-05,5134
245,2020-06,9266
246,2020-07,23441
247,2020-08,30573
248,2020-09,27296
249,2020-10,24925
250,2020-11,14598
251,2020-12,19377
252,2021-01,20605
253,2021-02,16250
254,2021-03,17905
255,2021-04,18161
256,2021-05,21683
257,2021-06,27809
258,2021-07,41440
259,2021-08,44033
260,2021-09,38198
261,2021-10,39622
262,2021-11,40801
263,2021-12,42161
264,2022-01,35794
265,2022-02,35263
266,2022-03,44226
267,2022-04,49365
268,2022-05,53545
269,2022-06,54458
270,2022-07,57836
271,2022-08,58442
272,2022-09,54703
273,2022-10,54797
274,2022-11,49078
275,2022-12,51133
276,2023-01,47772
277,2023-02,45142
278,2023-03,48850
279,2023-04,53971
280,2023-05,58285
281,2023-06,57693
282,2023-07,60576
283,2023-08,60698
284,2023-09,58664
285,2023-10,58938
286,2023-11,50585
287,2023-12,52731
288,2024-01,44823
289,2024-02,44880
290,2024-03,52035
291,2024-04,56286
292,2024-05,58990
